股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
1802,台灣玻璃工業,2257000.0,1910000.0,-347000.0,1.51%,1.27%
2049,上銀科技,451000.0,372000.0,-79000.0,1.48%,1.24%
2308,台達電子工業,82000.0,68000.0,-14000.0,1.53%,1.27%
2344,華邦電子,553000.0,659000.0,106000.0,0.99%,1.14%
2395,研華,321000.0,428000.0,107000.0,1.52%,2.07%
2408,南亞科技,250000.0,295000.0,45000.0,0.99%,1.14%
2881,富邦金融控股,864000.0,740000.0,-124000.0,0.99%,0.84%
3008,大立光電,50000.0,53000.0,3000.0,2.03%,2.16%
3017,奇鋐科技,83000.0,68000.0,-15000.0,2.04%,1.76%
3036,文曄科技,903000.0,1111000.0,208000.0,1.79%,2.29%
3105,穩懋半導體,216000.0,187000.0,-29000.0,0.85%,0.73%
3529,力旺電子,38000.0,31000.0,-7000.0,1.05%,0.87%
3653,健策精密工業,55000.0,46000.0,-9000.0,1.76%,1.51%
3711,日月光投資控股,196000.0,163000.0,-33000.0,1.29%,1.12%
6147,頎邦科技,326000.0,491000.0,165000.0,0.67%,0.98%
6187,萬潤科技,41000.0,115000.0,74000.0,0.41%,1.09%
6223,旺矽科技,29000.0,22000.0,-7000.0,1.82%,1.51%
6442,光紅建聖,136000.0,162000.0,26000.0,2.01%,2.51%
6488,環球晶圓,65000.0,50000.0,-15000.0,0.67%,0.57%
6669,緯穎科技服務,24000.0,19000.0,-5000.0,1.13%,0.94%
7769,鴻勁精密,20000.0,16000.0,-4000.0,1.31%,1.06%
8046,南亞電路板,175000.0,148000.0,-27000.0,1.93%,1.6%
8299,群聯電子,60000.0,61000.0,1000.0,1.28%,1.29%
8996,高力熱處理工業,77000.0,70000.0,-7000.0,1.12%,0.94%
